Sample name;Extraction solvent;Sample concentration;Extractant-dispersant ratio;Sample volume;Extractant mixture volume;DES volume;EDM a preparar;Volumen DES;Volume ACN;Area;Concentration;Enrichment factor;Recovery
RSM_1;Men-Lid;0,25;0,72;6,3;380;159;480;201;279;646359;3,62;14,46683501;0,365275568
RSM_2;Men-Lid;0,25;1,78;6,3;380;243;480;307;173;401464;2,25;8,985582561;0,34702798
RSM_3;Men-Lid;0,25;0,72;11,7;380;159;480;201;279;898823;5,03;20,11751647;0,273511852
RSM_4;Men-Lid;0,25;1,78;11,7;380;243;480;307;173;517738;2,9;11,58805024;0,240981282
RSM_5;Men-Lid;0,25;0,72;6,3;400;167;500;209;291;715043;4;16,00412463;0,425358794
RSM_6;Men-Lid;0,25;1,78;6,3;400;256;500;320;180;368317;2,06;8,243686826;0,335132181
RSM_7;Men-Lid;0,25;0,72;11,7;400;167;500;209;291;784602;4,39;17,56100278;0,251320254
RSM_8;Men-Lid;0,25;1,78;11,7;400;256;500;320;180;547101;3,06;12,24525132;0,268050757
RSM_9;Men-Lid;0,25;0,3586498;9;390;103;490;129;361;1679453;9,4;37,58960524;0,429984624
RSM_10;Men-Lid;0,25;2,1413502;9;390;266;490;334;156;389131;2,18;8,709546917;0,257269916
RSM_11;Men-Lid;0,25;1,25;4,459159358;390;217;490;272;218;342885;1,92;7,674481639;0,372896374
RSM_12;Men-Lid;0,25;1,25;13,54084064;390;217;490;272;218;562878;3,15;12,59836404;0,201586121
RSM_13;Men-Lid;0,25;1,25;9;373,1820717;207;473,2;263;210;602894;3,37;13,4940011;0,310846869
RSM_14;Men-Lid;0,25;1,25;9;406,8179283;226;506,8;282;225;572782;3,21;12,82003591;0,321939534
RSM_15;Men-Lid;0,25;1,25;9;390;217;490;272;218;569228;3,19;12,74050098;0,306715764
RSM_16;Men-Lid;0,25;1,25;9;390;217;490;272;218;596298;3,34;13,34637008;0,321301502
RSM_17;Men-Lid;0,25;1,25;9;390;217;490;272;218;662713;3,71;14,83287649;0,357087767
